Thu Feb 18 17:18:25 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:20:05 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:20:16 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:23:20 2016 ipInfo|2.150.46.10,Oslo,59.9127,10.7461
Thu Feb 18 17:24:05 2016 ipInfo|2.150.46.10,Oslo,59.9127,10.7461
Thu Feb 18 17:28:18 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:32:04 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:32:44 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:33:21 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:33:57 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:35:41 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:36:41 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:41:12 2016 ipInfo|51.175.77.204,Stavanger,58.9667,5.7500
Thu Feb 18 17:41:56 2016 ipInfo|2.150.46.10,Oslo,59.9127,10.7461
Thu Feb 18 17:46:00 2016 ipInfo|2.150.46.10,Oslo,59.9127,10.7461
Thu Feb 18 18:03:27 2016 ipInfo|2.150.46.10,Oslo,59.9127,10.7461
Fri Feb 19 01:22:31 2016 ipInfo|2.150.46.10,Oslo,59.9127,10.7461
Fri Feb 19 05:48:46 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 05:57:45 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 05:59:43 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:01:19 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:01:56 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:02:42 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:03:38 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:03:55 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:03:56 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:04:31 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:05:16 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:05:17 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:06:01 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:09:01 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:09:01 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:09:07 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:10:21 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:10:44 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:10:59 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:16:27 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:17:21 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:18:07 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:20:47 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:21:26 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:21:54 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:21:54 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:22:06 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:22:43 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:23:21 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:25:39 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:26:12 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:29:57 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 06:31:41 2016 ipInfo|2.150.46.10,Oslo,59.9127,10.7461
Fri Feb 19 07:11:16 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 07:11:38 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 07:12:23 2016 ipInfo|213.52.71.77,,59.9500,10.7500
Fri Feb 19 07:17:04 2016 ipInfo|2.150.46.10,Oslo,59.9127,10.7461
Fri Feb 19 07:45:33 2016 ipInfo|2.150.46.10,Oslo,59.9127,10.7461
Sun Feb 21 05:54:32 2016 ipInfo|88.91.241.206,Oslo,59.9127,10.7461
Sun Feb 21 05:54:33 2016 ipInfo|88.91.241.206,Oslo,59.9127,10.7461
Sun Feb 21 05:55:52 2016 ipInfo|88.91.241.206,Oslo,59.9127,10.7461
Sun Feb 21 05:58:42 2016 ipInfo|88.91.241.206,Oslo,59.9127,10.7461
